id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
74,suspenseful,suspenseful,3,4,2,femal,27,2,2,2,3,2,2,3,2,2,2,2,2,4,4,2,2,4
76,secretive,secretive,4,5,5,male,34,4,6,4,4,3,3,6,3,3,4,3,6,6,5,4,2,5
77,expressive,expressive,5,7,7,femal,33,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
78,suspenseful,suspenseful,5,6,5,male,29,6,6,3,3,2,3,2,6,1,2,4,5,4,4,3,3,4
79,magical,magical,5,7,7,male,34,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
80,expressive,expressive,5,7,7,femal,44,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5
81,secretive,secretive,5,7,7,femal,46,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
82,secretive,secretive,5,7,7,femal,31,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
83,expressive,expressive,5,7,7,femal,29,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
84,suspenseful,suspenseful,4,7,6,femal,26,4,6,3,3,2,3,5,6,6,3,5,4,5,5,2,1,5
85,suspenseful,suspenseful,5,7,6,male,45,5,6,5,5,5,4,5,6,6,6,5,5,5,5,5,4,5
86,magical,magical,5,7,7,femal,25,6,6,4,4,4,4,4,1,6,4,4,5,5,5,5,4,5
87,secretive,secretive,4,6,5,femal,27,5,5,4,4,4,4,4,1,6,6,4,4,4,4,3,3,4
89,secretive,secretive,5,7,7,femal,59,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
90,expressive,expressive,5,7,7,femal,47,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5
92,expressive,expressive,5,7,7,femal,31,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
93,magical,magical,5,7,7,femal,20,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
94,magical,magical,4,6,6,femal,61,5,6,4,4,4,4,6,6,6,6,4,4,5,5,5,4,5
95,suspenseful,suspenseful,3,4,4,femal,63,4,5,3,4,4,4,5,6,6,6,4,5,4,4,4,6,5
96,expressive,expressive,5,7,7,male,36,6,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5
97,suspenseful,suspenseful,5,7,7,femal,24,6,6,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5
99,magical,magical,5,7,7,male,36,6,6,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5
100,expressive,expressive,5,7,6,male,34,5,6,5,5,5,4,5,6,6,5,5,5,5,5,5,5,5
101,suspenseful,suspenseful,5,5,3,femal,35,3,3,4,4,4,3,5,6,6,6,3,5,5,3,2,2,4
102,secretive,secretive,4,6,6,male,69,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,2,5
103,secretive,secretive,5,7,7,femal,22,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
104,suspenseful,suspenseful,5,7,7,femal,20,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
105,secretive,secretive,2,3,3,male,27,2,2,2,2,2,2,2,6,6,2,2,3,2,2,2,2,2
106,magical,magical,5,7,6,male,29,6,6,5,5,5,5,5,6,6,6,5,5,5,5,4,5,5
107,magical,magical,5,7,7,femal,47,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
108,magical,magical,5,7,7,femal,42,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
109,secretive,secretive,5,7,7,femal,59,6,6,6,6,6,3,3,1,6,1,3,6,6,6,6,6,6
110,secretive,secretive,5,7,7,femal,24,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5
111,secretive,secretive,5,6,5,male,30,5,5,4,5,4,4,4,6,6,4,4,5,4,4,4,3,4
112,secretive,secretive,5,7,5,male,31,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
113,secretive,secretive,5,7,7,femal,49,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
114,expressive,expressive,5,6,7,male,56,6,6,5,5,5,5,3,6,6,6,3,5,5,5,5,4,5
115,suspenseful,suspenseful,4,4,2,male,54,2,4,2,3,2,2,4,6,6,6,3,5,4,3,3,2,4
116,secretive,secretive,5,7,7,femal,31,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
117,secretive,secretive,5,7,6,male,38,6,6,5,5,5,4,5,6,6,6,5,5,5,5,5,3,5
118,magical,magical,5,7,7,male,63,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
119,secretive,secretive,4,6,6,femal,32,3,3,5,5,5,5,6,6,6,6,6,3,2,4,4,5,3
120,magical,magical,5,7,7,male,65,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
122,suspenseful,suspenseful,5,7,7,diver,36,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
123,magical,magical,5,7,7,femal,22,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
124,magical,magical,4,7,2,femal,34,2,5,2,2,2,2,5,6,2,2,2,1,5,5,5,1,5
125,secretive,secretive,5,6,4,femal,22,4,5,3,3,3,3,5,6,6,6,3,3,4,4,3,2,4
126,expressive,expressive,5,7,5,male,57,6,6,4,4,3,3,5,6,6,3,5,4,5,3,5,2,5
127,secretive,secretive,5,7,7,male,36,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
128,expressive,expressive,5,7,7,male,24,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
129,expressive,expressive,5,7,7,femal,26,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
130,expressive,expressive,5,7,7,male,32,6,6,5,5,5,5,5,6,5,6,5,6,5,5,5,5,5
132,magical,magical,5,7,7,male,37,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
133,magical,magical,5,7,7,femal,44,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
134,expressive,expressive,5,7,7,femal,24,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
135,magical,magical,5,7,7,femal,27,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
136,magical,magical,5,7,5,male,21,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,4,5
137,secretive,secretive,5,7,7,femal,41,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5
138,magical,magical,5,7,5,femal,21,3,5,5,5,3,3,5,6,6,6,6,5,6,6,4,3,6
139,expressive,expressive,5,7,7,male,20,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
140,secretive,secretive,5,6,6,male,29,5,5,4,4,4,4,4,6,6,6,4,5,5,5,5,5,5
141,magical,magical,5,7,7,femal,38,6,6,5,5,5,5,5,6,6,2,5,5,5,5,5,4,5
142,secretive,secretive,2,4,5,femal,26,3,6,5,5,3,4,5,3,2,3,5,4,5,5,4,4,5
143,secretive,secretive,5,7,7,male,45,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
144,secretive,secretive,5,7,7,male,69,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
145,magical,magical,5,7,7,male,50,6,6,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5
146,secretive,secretive,3,6,4,male,46,3,5,3,2,3,2,4,6,6,3,4,6,5,4,3,3,4
147,expressive,expressive,5,7,7,femal,50,6,6,4,4,5,5,5,6,6,5,5,5,5,5,5,4,5
148,secretive,secretive,5,7,7,male,38,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5
150,secretive,secretive,5,7,7,femal,52,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
151,expressive,expressive,5,7,7,femal,31,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
152,expressive,expressive,5,7,7,femal,55,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
153,secretive,secretive,5,7,7,male,69,2,4,4,4,4,6,4,6,6,6,4,4,4,4,4,4,4
154,magical,magical,5,7,7,male,47,6,6,6,6,6,6,6,1,1,6,6,5,5,5,5,5,5
155,suspenseful,suspenseful,3,5,1,male,20,2,5,4,4,3,4,5,6,6,6,6,5,5,4,3,2,4
156,magical,magical,5,7,5,femal,37,6,6,5,4,4,4,5,6,6,6,5,5,5,5,5,4,5
157,expressive,expressive,5,7,5,male,32,6,4,4,3,4,4,5,6,6,4,5,5,5,4,4,1,5
158,suspenseful,suspenseful,5,6,7,femal,56,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,4,5
159,secretive,secretive,4,6,6,male,31,4,5,4,4,4,4,5,6,6,6,4,5,5,4,4,3,5
