id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
268,secretive,secretive,5,7,7,femal,40,6,6,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5
269,secretive,secretive,5,7,7,femal,33,6,6,5,5,5,4,5,6,6,6,5,5,4,4,4,4,4
270,suspenseful,suspenseful,4,6,5,femal,36,3,4,4,4,4,3,4,6,6,6,4,4,4,4,4,4,4
271,secretive,secretive,5,7,7,femal,38,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
272,secretive,secretive,5,5,4,femal,23,6,6,5,5,5,6,5,6,6,6,5,5,5,5,5,5,5
273,magical,magical,5,7,7,femal,41,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
274,secretive,secretive,5,7,7,male,51,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
275,suspenseful,suspenseful,5,7,5,male,48,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
277,expressive,expressive,5,6,6,femal,45,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
278,magical,magical,5,7,7,femal,37,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5
279,suspenseful,suspenseful,5,7,7,femal,36,5,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
280,expressive,expressive,5,6,6,femal,34,4,6,5,4,4,4,5,6,6,6,4,5,4,4,3,4,5
281,secretive,secretive,5,7,7,male,47,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
282,suspenseful,suspenseful,5,6,6,femal,28,3,6,3,5,5,4,5,6,6,6,4,4,5,4,3,4,5
283,suspenseful,suspenseful,5,5,5,male,30,6,6,5,5,5,3,5,6,6,6,6,5,5,5,5,5,5
284,expressive,expressive,5,7,7,male,60,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
285,secretive,secretive,5,6,6,male,37,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,4,5
286,secretive,secretive,5,7,7,male,42,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
287,magical,magical,5,5,6,femal,39,5,5,5,5,4,5,4,3,2,5,4,5,5,5,5,5,5
288,suspenseful,suspenseful,5,7,7,femal,43,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
289,secretive,secretive,5,7,7,femal,25,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
291,suspenseful,suspenseful,5,6,6,femal,28,5,5,5,5,5,5,5,2,2,3,5,5,5,5,5,5,5
292,magical,magical,5,7,6,male,61,5,6,5,5,4,5,5,6,6,5,5,4,5,5,5,3,5
293,suspenseful,suspenseful,5,7,7,male,32,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
294,expressive,expressive,5,7,7,femal,25,6,6,5,5,3,5,5,1,6,6,4,4,5,5,4,4,4
295,expressive,expressive,5,7,6,femal,42,6,6,5,5,4,4,5,6,6,6,5,5,5,5,5,5,5
296,expressive,expressive,5,7,7,femal,30,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
297,expressive,expressive,5,6,6,femal,28,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
298,magical,magical,5,6,6,femal,30,6,6,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5
